name,category,county,country,why_interesting,lat,lng,image_url,source_url,geocode_source,geocode_status,image_source,image_status
Grand-Place,Square,Grand-Place / Îlot Sacré,Belgium,Rebuilt spectacularly after Louis XIV’s 1695 bombardment; the guildhall ensemble is now a UNESCO World Heritage Site.,50.846729,4.352408,https://upload.wikimedia.org/wikipedia/commons/thumb/2/26/Grand-Place%2C_Brussels_-_panorama%2C_June_2018.jpg/3840px-Grand-Place%2C_Brussels_-_panorama%2C_June_2018.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,https://whc.unesco.org/en/list/857/,nominatim,matched,wikipedia_search,found
Brussels Town Hall,Historic Building,Grand-Place / Îlot Sacré,Belgium,Construction began in 1401; its soaring 15th-century tower was completed by Jan van Ruysbroeck and remains Brussels’ civic landmark.,50.846522,4.351763,https://upload.wikimedia.org/wikipedia/commons/1/13/Brussels%2C_townhall_oeg2043-00090_foto3_2015-06-07_08.38.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail_unscaled,https://www.visit.brussels/en/visitors/venue-details.City-of-Brussels-Town-Hall.475,nominatim,matched,wikipedia_search,found
Maison du Roi / Brussels City Museum,Museum,Grand-Place / Îlot Sacré,Belgium,The neo-Gothic Maison du Roi was rebuilt in the late 19th century and has housed Brussels’ city museum since 1887.,50.84694,4.35278,https://upload.wikimedia.org/wikipedia/commons/f/fa/Bruxelles%2C_Grand-Place%2C_tapis_de_fleurs_2012_depuis_la_maison_du_Roi_-_panoramio.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://www.brusselscitymuseum.brussels/en/the-museum/background,,no_match,commons_geosearch,found
Maison des Ducs de Brabant,Historic Building,Grand-Place / Îlot Sacré,Belgium,"Seven guildhouses hide behind one monumental Baroque façade, designed by Guillaume de Bruyn during the Grand-Place rebuilding of 1698.",50.84637,4.35311,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/Bruxelles_Grand-Place_Maison_des_Ducs_de_Brabant_3.jpg/3840px-Bruxelles_Grand-Place_Maison_des_Ducs_de_Brabant_3.jpg?utm_source=fr.wikipedia.org&utm_campaign=api&utm_content=thumbnail,https://monument.heritage.brussels/fr/buildings/31130,,no_match,wikipedia_search_fr,found
Le Pigeon (De Duif) Guildhouse,Historic Building,Grand-Place / Îlot Sacré,Belgium,Rebuilt in 1697 after the bombardment; Victor Hugo lived here in 1852 while exiled from France.,50.84679,4.35309,https://upload.wikimedia.org/wikipedia/commons/5/5a/Belgique_-_Bruxelles_-_Maison_du_Pigeon_-_02.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://opendata.brussels.be/explore/dataset/description-des-batiments-de-la-grand-place/table/?flg=en-gb,,no_match,commons_geosearch,found
Le Cygne (De Zwaan) Guildhouse,Historic Building,Grand-Place / Îlot Sacré,Belgium,"Rebuilt after the 1695 bombardment, this Grand-Place guildhouse later became a meeting place frequented by Karl Marx in the 1840s.",50.84635,4.35265,https://upload.wikimedia.org/wikipedia/commons/c/ce/Plaque_comm%C3%A9morative_sur_la_fa%C3%A7ade_de_La_Maison_du_Cygne%2C_Bruxelles_%28Karl_Marx%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://www.brusselstimes.com/belgium/390187/today-in-history-karl-marx-expelled-from-belgium,,no_match,commons_geosearch,found
Maison des Brasseurs / Brewers’ House,Historic Building,Grand-Place / Îlot Sacré,Belgium,"Rebuilt in 1698 by Guillaume de Bruyn for the brewers’ guild, it remains a showpiece of Brussels’ beer heritage.",50.84619,4.3526,https://upload.wikimedia.org/wikipedia/commons/6/63/Belgique_-_Bruxelles_-_Maison_de_l%27Arbre_d%27Or_-_02.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://www.visit.brussels/en/professionals/venue-details.The-Brewer-s-House.263023,,no_match,commons_geosearch,found
Everard ’t Serclaes Monument,Monument,Grand-Place / Îlot Sacré,Belgium,"Julien Dillens created this 1898 memorial to Everard ’t Serclaes, the 14th-century hero who helped recover Brussels from Flemish occupation.",50.846314,4.352338,,https://www.brusselscitymuseum.brussels/en/acquisitions/design-for-the-everard-tserclaes-monument-julien-dillens,nominatim,matched,,needs_review
Royal Saint-Hubert Galleries,Historic Building,Grand-Place / Îlot Sacré,Belgium,"Opened in 1847 to designs by Jean-Pierre Cluysenaar, these glass-roofed galleries rank among Europe’s earliest purpose-built shopping arcades.",50.8475,4.355,https://upload.wikimedia.org/wikipedia/commons/d/d8/Galeries_royales_Saint-Hubert_Bruxelles.JPG?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail_unscaled,https://www.visit.brussels/en/visitors/what-to-do/galleries-and-passages-treasures-of-brussels-architectural-heritage,wikipedia_search,matched,wikipedia_search,found
Royal Theatre Toone,Historic Building,Grand-Place / Îlot Sacré,Belgium,"Brussels’ Toone puppet tradition dates to around 1830, when Antoine ‘Toone’ Genty established a popular marionette theatre.",50.847715,4.353719,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/Belgium-6584_-_Poster_%2813935098629%29.jpg/3840px-Belgium-6584_-_Poster_%2813935098629%29.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,https://www.visit.brussels/en/visitors/what-to-do/nightlife,nominatim,matched,wikipedia_search,found
