name,category,county,country,why_interesting,lat,lng,image_url,Source URL,geocode_source,geocode_status
Grand-Place,Square,Grand-Place / Îlot Sacré,Belgium,Rebuilt spectacularly after Louis XIV’s 1695 bombardment; the guildhall ensemble is now a UNESCO World Heritage Site.,50.846729,4.352408,,https://whc.unesco.org/en/list/857/,nominatim,matched
Brussels Town Hall,Historic Building,Grand-Place / Îlot Sacré,Belgium,Construction began in 1401; its soaring 15th-century tower was completed by Jan van Ruysbroeck and remains Brussels’ civic landmark.,50.846522,4.351763,,https://www.visit.brussels/en/visitors/venue-details.City-of-Brussels-Town-Hall.475,nominatim,matched
Maison du Roi / Brussels City Museum,Museum,Grand-Place / Îlot Sacré,Belgium,The neo-Gothic Maison du Roi was rebuilt in the late 19th century and has housed Brussels’ city museum since 1887.,,,,https://www.brusselscitymuseum.brussels/en/the-museum/background,,no_match
Maison des Ducs de Brabant,Historic Building,Grand-Place / Îlot Sacré,Belgium,"Seven guildhouses hide behind one monumental Baroque façade, designed by Guillaume de Bruyn during the Grand-Place rebuilding of 1698.",,,,https://monument.heritage.brussels/fr/buildings/31130,,no_match
Le Pigeon (De Duif) Guildhouse,Historic Building,Grand-Place / Îlot Sacré,Belgium,Rebuilt in 1697 after the bombardment; Victor Hugo lived here in 1852 while exiled from France.,,,,https://opendata.brussels.be/explore/dataset/description-des-batiments-de-la-grand-place/table/?flg=en-gb,,no_match
Le Cygne (De Zwaan) Guildhouse,Historic Building,Grand-Place / Îlot Sacré,Belgium,"Rebuilt after the 1695 bombardment, this Grand-Place guildhouse later became a meeting place frequented by Karl Marx in the 1840s.",,,,https://www.brusselstimes.com/belgium/390187/today-in-history-karl-marx-expelled-from-belgium,,no_match
Maison des Brasseurs / Brewers’ House,Historic Building,Grand-Place / Îlot Sacré,Belgium,"Rebuilt in 1698 by Guillaume de Bruyn for the brewers’ guild, it remains a showpiece of Brussels’ beer heritage.",,,,https://www.visit.brussels/en/professionals/venue-details.The-Brewer-s-House.263023,,no_match
Everard ’t Serclaes Monument,Monument,Grand-Place / Îlot Sacré,Belgium,"Julien Dillens created this 1898 memorial to Everard ’t Serclaes, the 14th-century hero who helped recover Brussels from Flemish occupation.",50.846314,4.352338,,https://www.brusselscitymuseum.brussels/en/acquisitions/design-for-the-everard-tserclaes-monument-julien-dillens,nominatim,matched
Royal Saint-Hubert Galleries,Historic Building,Grand-Place / Îlot Sacré,Belgium,"Opened in 1847 to designs by Jean-Pierre Cluysenaar, these glass-roofed galleries rank among Europe’s earliest purpose-built shopping arcades.",50.847500,4.355000,,https://www.visit.brussels/en/visitors/what-to-do/galleries-and-passages-treasures-of-brussels-architectural-heritage,wikipedia_search,matched
Royal Theatre Toone,Historic Building,Grand-Place / Îlot Sacré,Belgium,"Brussels’ Toone puppet tradition dates to around 1830, when Antoine ‘Toone’ Genty established a popular marionette theatre.",50.847715,4.353719,,https://www.visit.brussels/en/visitors/what-to-do/nightlife,nominatim,matched
Saint Nicholas Church,Church,Grand-Place / Îlot Sacré,Belgium,"A church has stood here since the 12th century; the present building survived repeated rebuilding, including after the devastating 1695 bombardment.",51.053979,3.722886,,https://www.visit.brussels/en/visitors/plan-your-trip/architecture-walks-in-brussels/walk-1/etape-1,nominatim,matched
