name,category,county,country,lat,lng,Wikipedia Extract,editorial_review,why_interesting,cost,good_for,experience_collections,heritage_collections,image_url,official_website,original_name,original_county,camra_merge_status,osm_status_check,Good For,Experience Collections,Entry Cost,Notes
Aira Force,Waterfall,Cumbria,United Kingdom,54.5763,-2.9309,"Aira Force is a waterfall in the English Lake District, in the civil parish of Matterdale and the county of Cumbria. The site of the waterfall is owned by the National Trust.",Keep,"A spectacular 65-foot waterfall in the Lake District, framed by an arched packhorse bridge.",Free,"Walkers & Hikers, Photographers, Families","Great Views, Weekend Adventure",National Trust,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/Waterfall_Lakes.JPG/1280px-Waterfall_Lakes.JPG?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,,,,,,"walkers and hikers, photographers, family",great views,Free,
Cauldron Snout,Waterfall,Cumbria,United Kingdom,54.65395,-2.2898,"Cauldron Snout is a cascade on the upper reaches of the River Tees in Northern England, immediately below the dam of the Cow Green Reservoir. It is well upstream of the High Force waterfall, and is on the boundary between County Durham and Cumbria (historically Westmorland), England.",Keep,"One of England's longest cascades, tumbling wildly down the remote upper Tees.",Free,"Walkers & Hikers, Photographers, Families","Great Views, Weekend Adventure",,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f8/Cauldron_Snout_-_July_2006.jpg/1280px-Cauldron_Snout_-_July_2006.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,,,,,,"walkers and hikers, photographers, family",great views,Free,
East Gill Force,Waterfall,North Yorkshire,United Kingdom,54.40615,-2.16172,"East Gill Force is a waterfall in Swaledale, 330 yards (300 m) east of the hamlet of Keld, in the Yorkshire Dales National Park, North Yorkshire, England. The falls are located on East Gill at grid reference NY896012,  just before its confluence with the River Swale at the point where the Pennine Way and the Coast to Coast Walk intersect.",Keep,"A spectacular waterfall in Yorkshire Dales National Park, made for walkers and photographers.",Free,"Walkers & Hikers, Photographers, Families","Great Views, Weekend Adventure",,https://upload.wikimedia.org/wikipedia/commons/thumb/5/57/East_Gill_Force_Upper.jpg/1280px-East_Gill_Force_Upper.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,,,,,,"walkers and hikers, photographers, family",great views,Free,
Scale Force,Waterfall,Cumbria,United Kingdom,54.5432,-3.3135,"Scale Force is considered the highest waterfall in the English Lake District. Opinions vary about how its precise height is calculated, but the total height is normally stated as 170 feet (51.8m).",Keep,"The Lake District's highest single-drop waterfall, reached by a quiet fellside walk.",Free,"Walkers & Hikers, Photographers, Families","Great Views, Weekend Adventure",,https://upload.wikimedia.org/wikipedia/commons/2/2d/Waterfall_Scale_Force.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail_unscaled,,,,,,"walkers and hikers, photographers, family",great views,Free,
Scaleber Force,Waterfall,North Yorkshire,United Kingdom,54.05885,-2.24484,"Scaleber Force (also known as Scaleber Foss and Scaleber Waterfall), is a 40-foot (12 m) high waterfall on Stockdale Beck, later the Long Preston Beck, that feeds into the River Ribble between Settle and Long Preston in North Yorkshire, England. The waterfall is the result of geological faulting (part of the South Craven Fault) and is a popular tourist attraction.",Keep,"A 12-metre waterfall in North Yorkshire, made for walkers and photographers.",Free,"Walkers & Hikers, Photographers, Families","Great Views, Weekend Adventure",,https://upload.wikimedia.org/wikipedia/commons/1/14/Scaleber_Force_-_geograph.org.uk_-_1535569.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail_unscaled,,,,,,"walkers and hikers, photographers, family",great views,Free,
Stainforth Force,Waterfall,North Yorkshire,United Kingdom,54.1,-2.279,"Stainforth Force (also known as Stainforth Foss and Ribble Falls), is a 2.5-metre (8 ft 2 in) high cascade waterfall on the River Ribble at Stainforth, 3 miles (5 km) north of Settle in North Yorkshire, England. The waterfall is a popular tourist attraction in autumn when Atlantic salmon are migrating up the river.",Keep,"A 8-foot waterfall in North Yorkshire, made for walkers and photographers.",Free,"Walkers & Hikers, Photographers, Families","Great Views, Weekend Adventure",,https://upload.wikimedia.org/wikipedia/commons/6/67/Stainforth_Force%2C_upper_fall_-_geograph.org.uk_-_1452114.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail_unscaled,,,,,,"walkers and hikers, photographers, family",great views,Free,
Taylor Gill Force,Waterfall,Cumbria,United Kingdom,54.48807,-3.19081,"Taylor Gill Force is one of the highest waterfalls in the Lake District of England. It is situated in Seathwaite, Allerdale, near Seatoller in Cumbria.",Keep,"Cumbria's highest waterfall, reached on a rewarding walk.",Free,"Walkers & Hikers, Photographers, Families","Great Views, Weekend Adventure",,https://upload.wikimedia.org/wikipedia/commons/6/62/Taylor_Gill_Force_-_geograph.org.uk_-_136149.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail_unscaled,,,,,,"walkers and hikers, photographers, family",great views,Free,
Wain Wath Force,Waterfall,North Yorkshire,United Kingdom,54.40882,-2.18176,"Wain Wath Force is a waterfall on the River Swale in the Yorkshire Dales National Park, North Yorkshire, England. The falls are at grid reference NY883015, 0.6 miles (1 km) upstream from the hamlet of Keld which has three other waterfalls in its vicinity (Kisdon Force, East Gill Force, and Catrake Force).",Keep,"A scenic stream through the countryside, perfect for a quieter wander.",Free,"Walkers & Hikers, Photographers, Families","Great Views, Weekend Adventure",,https://upload.wikimedia.org/wikipedia/commons/thumb/9/98/Wain_Wath_Force.jpg/1280px-Wain_Wath_Force.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,,,,,,"walkers and hikers, photographers, family",great views,Free,
Ingleton Waterfalls Trail,Waterfall,North Yorkshire,United Kingdom,54.154333,-2.471333,"Ingleton Waterfalls Trail is a well-known circular trail beginning and ending in the village of Ingleton in the English county of North Yorkshire, now maintained by the Ingleton Scenery Company.  It is claimed that the trail, some 8 kilometres (5 mi) long, and with a vertical rise of 169 m (554 feet) has some of the most spectacular waterfall and woodland scenery in the north of England.",Keep,A famous circular walk linking a string of dramatic Yorkshire Dales waterfalls.,Free,"Walkers & Hikers, Photographers, Families","Great Views, Weekend Adventure",,https://upload.wikimedia.org/wikipedia/commons/b/b6/Thornton_Force.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail_unscaled,,,,,,"walkers and hikers, photographers, family",great views,Free,
Stock Ghyll,Waterfall,Cumbria,United Kingdom,54.43179,-2.97079,"Stock Ghyll, also known as Stock Gill, Stock Gill Beck and Stock Beck, is a stream in the district of Westmorland and Furness, in the ceremonial county of Cumbria and the historic county of Westmorland.  It flows about four miles from Red Screes through the town of Ambleside to the River Rothay.",Keep,"A scenic stream through the countryside, perfect for a quieter wander.",Free,"Walkers & Hikers, Photographers, Families","Great Views, Weekend Adventure",,https://upload.wikimedia.org/wikipedia/commons/7/7e/Stock_Ghyll%2C_Rothay_Park_-_geograph.org.uk_-_5331986.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,,,,,,"walkers and hikers, photographers, family",great views,Free,
